name,description,coordinates
EL RANCHO - CELDA CERRO EL RANCHO,"EL RANCHO(YGUAGTRA) - CELDA CERRO EL RANCHO(YGUAGTCR)
10,000Mbps
6.21%","[(14.9265, -90.01460277777801), (14.9162, -90.02270000000001)]"
EL RANCHO - CELDA PASO DE LOS JALAPAS,"EL RANCHO(YGUAGTRA) - CELDA PASO DE LOS JALAPAS(LJALGTPJ)
10,000Mbps
2.86%","[(14.9265, -90.01460277777801), (14.9059, -89.960602777778)]"
SANARATE - CELDA PLANTA CEMENTOS PROGRESO,"SANARATE(YSANGTSN) - CELDA PLANTA CEMENTOS PROGRESO(YSANGTPC)
50,000Mbps
12.08%","[(14.798333333333, -90.204166666667), (14.810305555556, -90.260083333333)]"
SANARATE - CELDA FINCA EL ARENAL,"SANARATE(YSANGTSN) - CELDA FINCA EL ARENAL(YSASGTFA)
10,000Mbps
23.92%","[(14.798333333333, -90.204166666667), (14.75675, -90.15263888888902)]"
SANARATE - CELDA LAS PALMAS SANARATE,"SANARATE(YSANGTSN) - CELDA LAS PALMAS SANARATE(YSANGTPS)
10,000Mbps
4.32%","[(14.798333333333, -90.204166666667), (14.807777777778, -90.182861111111)]"
SANARATE - MSAN CARRETERA AL CONACASTE,"SANARATE(YSANGTSN) - MSAN CARRETERA AL CONACASTE(YSANGTMC)
1,000Mbps
8.31%","[(14.798333333333, -90.204166666667), (14.803833333333, -90.19197777777802)]"
GUASTATOYA - CELDA SANTA RITA,"GUASTATOYA(YGUAGTGU) - CELDA SANTA RITA(YGUAGTSR)
10,000Mbps
5.35%","[(14.852777777778, -90.070555555556), (14.862055555556, -90.01752777777799)]"
CELDA SALAMA II - SALAMA,"CELDA SALAMA II(BSALGTS2) - SALAMA(BSALGTSA)
10,000Mbps
2.95%","[(15.100580555556, -90.302805555556), (15.164444444444, -90.318611111111)]"
CELDA AGUA SALOBREGA - SANARATE,"CELDA AGUA SALOBREGA(YSANGTAS) - SANARATE(YSANGTSN)
10,000Mbps
4.64%","[(14.8107, -90.1664), (14.798333333333, -90.204166666667)]"
SALAMA - SAN JERONIMO,"SALAMA(BSALGTSA) - SAN JERONIMO(BSJEGTSJ)
100Mbps
14.24%","[(15.164444444444, -90.318611111111), (16.09622, -88.561347)]"
"SALAMA - MSAN BARRIO EL CONDOR, SALAMA","SALAMA(BSALGTSA) - MSAN BARRIO EL CONDOR, SALAMA(BSALGTMB)
10,000Mbps
0.57%","[(15.164444444444, -90.318611111111), (15.093611111111, -90.29749999999999)]"
CELDA FINCA EL ARENAL - SANSARE,"CELDA FINCA EL ARENAL(YSASGTFA) - SANSARE(YSASGTSA)
10,000Mbps
19.13%","[(14.75675, -90.15263888888902), (14.7473, -90.11680000000001)]"
RABINAL - CUBULCO,"RABINAL(BRABGTRA) - CUBULCO(BCUBGTCU)
10,000Mbps
28.44%","[(15.0862, -90.4906), (15.105833333333, -90.628611111111)]"
RABINAL - CELDA SAN PABLO BAJA VERAPAZ,"RABINAL(BRABGTRA) - CELDA SAN PABLO BAJA VERAPAZ(BRABGTSP)
10,000Mbps
5.83%","[(15.0862, -90.4906), (15.0968, -90.479897222222)]"
RABINAL - CELDA EL CHOL,"RABINAL(BRABGTRA) - CELDA EL CHOL(BCHOGTEC)
10,000Mbps
4.49%","[(15.0862, -90.4906), (14.962, -90.4884)]"
MORAZAN - CELDA MORAZAN,"MORAZAN(YMORGTMO) - CELDA MORAZAN(YMORGTMR)
10,000Mbps
3.62%","[(14.932222222222, -90.14333333333302), (14.933333333333, -90.14222222222199)]"
SANSARE - CELDA EL LLANO SANSARE,"SANSARE(YSASGTSA) - CELDA EL LLANO SANSARE(YSASGTLS)
10,000Mbps
1.15%","[(14.7473, -90.11680000000001), (14.749666666667, -90.09327777777798)]"
EL JICARO - CELDA EL JICARO,"EL JICARO(YJICGTJI) - CELDA EL JICARO(YJICGTEJ)
10,000Mbps
9.84%","[(14.9119, -89.8956), (14.9119, -89.8956)]"
CELDA SAN MIGUEL CHICAJ - CELDA CHIJUAREZ,"CELDA SAN MIGUEL CHICAJ(BSMCGTMC) - CELDA CHIJUAREZ(BSMCGTCH)
10,000Mbps
7.71%","[(15.1013, -90.380202777778), (15.106191666667, -90.412888888889)]"
SAN AGUSTIN ACASAGUASTLAN - CELDA SAN AGUSTIN ACASAGUASTLAN,"SAN AGUSTIN ACASAGUASTLAN(YSAAGTSA) - CELDA SAN AGUSTIN ACASAGUASTLAN(YSAAGTSG)
10,000Mbps
3.91%","[(14.943111111111, -89.9722), (14.9527, -89.971702777778)]"
CELDA SAN CRISTOBAL ACASAGUASTLAN - CELDA EL JICARO,"CELDA SAN CRISTOBAL ACASAGUASTLAN(YSCAGTSR) - CELDA EL JICARO(YJICGTEJ)
10,000Mbps
2.26%","[(14.927527777778, -89.882), (14.9119, -89.8956)]"
CELDA CHIJUAREZ - CELDA SAN GABRIEL BAJA VERAPAZ,"CELDA CHIJUAREZ(BSMCGTCH) - CELDA SAN GABRIEL BAJA VERAPAZ(BSMCGTSA)
10,000Mbps
6.27%","[(15.106191666667, -90.412888888889), (15.125444444444, -90.418777777778)]"
CELDA SAN GABRIEL LAS MINAS - CELDA SAN GABRIEL BAJA VERAPAZ,"CELDA SAN GABRIEL LAS MINAS(BSMCGTSG) - CELDA SAN GABRIEL BAJA VERAPAZ(BSMCGTSA)
1,000Mbps
36.53%","[(15.141166666667, -90.428388888889), (15.125444444444, -90.418777777778)]"
CELDA EL JICARO - EL JICARO_XT,"CELDA EL JICARO(YJICGTEJ) - EL JICARO_XT(YJICGTJX)
422Mbps
51.54%","[(14.9119, -89.8956), (14.912638888889, -89.889361111111)]"
CELDA LA LAGUNA BAJA VERAPAZ - CELDA LAS ANONAS,"CELDA LA LAGUNA BAJA VERAPAZ(BSALGTLB) - CELDA LAS ANONAS(BSALGTLA)
10,000Mbps
8.14%","[(15.06875, -90.30275), (15.018, -90.321166666667)]"
CELDA SOLOMA - SAN PEDRO SOLOMA,"CELDA SOLOMA(HSPSGTSL) - SAN PEDRO SOLOMA(HSPSGTSP)
10,000Mbps
3.22%","[(15.654, -91.43000000000002), (15.6573, -91.443602777778)]"
CELDA CONCEPCION HUISTA - CELDA JACALTENANGO - CONCEPCION HUISTA,"CELDA CONCEPCION HUISTA(HCHUGTCH) - CELDA JACALTENANGO - CONCEPCION HUISTA(HJACGTJO)
10,000Mbps
3.98%","[(15.629055555556, -91.664111111111), (15.647375, -91.684333333333)]"
CELDA CONCEPCION HUISTA - CELDA SECHEU,"CELDA CONCEPCION HUISTA(HCHUGTCH) - CELDA SECHEU(HCHUGTSE)
1,000Mbps
16.77%","[(15.629055555556, -91.664111111111), (15.6011, -91.6726)]"
COLOTENANGO - CELDA SAN PEDRO NECTA,"COLOTENANGO(HCOLGTCO) - CELDA SAN PEDRO NECTA(HSIIGTSP)
10,000Mbps
8.52%","[(15.3993, -91.715), (15.486083333333, -91.771222222222)]"
CELDA CHIMBAN - CELDA SAN RAFAEL LA INDEPENDENCIA,"CELDA CHIMBAN(HSMAGTCH) - CELDA SAN RAFAEL LA INDEPENDENCIA(HSPSGTSR)
1,800Mbps
28.93%","[(15.6859, -91.59620000000001), (15.693861111111, -91.520497222222)]"
CELDA CHIMBAN - CELDA ICOB ACATAN,"CELDA CHIMBAN(HSMAGTCH) - CELDA ICOB ACATAN(HSMAGTIA)
728Mbps
40.7%","[(15.6859, -91.59620000000001), (15.691944444444, -91.620833333333)]"
CELDA CHIMBAN - CELDA IXCHOCH,"CELDA CHIMBAN(HSMAGTCH) - CELDA IXCHOCH(HSMAGTIX)
368Mbps
29.85%","[(15.6859, -91.59620000000001), (15.657944444444, -91.56166666666698)]"
CELDA CHINACA - HUEHUETENANGO,"CELDA CHINACA(HMALGTCH) - HUEHUETENANGO(HUEHGTHU)
50,000Mbps
0.03%","[(15.327083333333, -91.43397222222201), (15.326388888889, -91.46583333333301)]"
CELDA EL CABLE - LA LIBERTAD HUEHUETENANGO,"CELDA EL CABLE(HDEMGTCB) - LA LIBERTAD HUEHUETENANGO(HLIBGTLI)
1,000Mbps
18.06%","[(15.519888888889, -91.84925), (15.512777777778, -91.868888888889)]"
CHAJUL - CELDA ALDEA PULAY,"CHAJUL(KCHAGTCA) - CELDA ALDEA PULAY(KSJCGTAP)
3,600Mbps
71.17%","[(15.486666666667, -91.02611111111099), (15.434027777778, -91.09396944444401)]"
CHAJUL - CELDA SAN JUAN COTZAL,"CHAJUL(KCHAGTCA) - CELDA SAN JUAN COTZAL(KSJCGTSJ)
10,000Mbps
12.07%","[(15.486666666667, -91.02611111111099), (15.433333333333, -91.038055555556)]"
CELDA LA ROTONDA HUEHUETENANGO - HUEHUETENANGO,"CELDA LA ROTONDA HUEHUETENANGO(HUEHGTRH) - HUEHUETENANGO(HUEHGTHU)
1,000Mbps
11.33%","[(15.31735, -91.471111111111), (15.326388888889, -91.46583333333301)]"
CELDA LAS VEGAS - CAMBOTE,"CELDA LAS VEGAS(HUEHGTVE) - CAMBOTE(HUEHGTCA)
10,000Mbps
3.58%","[(15.298727777778, -91.4954), (15.3078, -91.4944)]"
CELDA SAN RAFAEL PETZAL II - CELDA SAN RAFAEL PETZAL,"CELDA SAN RAFAEL PETZAL II(HSRPGTS2) - CELDA SAN RAFAEL PETZAL(HSRPGTRP)
728Mbps
54.11%","[(15.3924, -91.655097222222), (15.4056, -91.6657)]"
CELDA SAN LORENZO HUEHUETENANGO - MALACATANCITO,"CELDA SAN LORENZO HUEHUETENANGO(HMALGTSL) - MALACATANCITO(HMALGTMA)
50,000Mbps
0.95%","[(15.2855, -91.45591111111102), (15.244583333333, -91.494444444444)]"
CELDA ALDEA PULAY - CELDA NEBAJ II,"CELDA ALDEA PULAY(KSJCGTAP) - CELDA NEBAJ II(KNEBGTN2)
100Mbps
74.91%","[(15.434027777778, -91.09396944444401), (15.427305555556, -91.16025)]"
CELDA EL AGUACATE CHUACULA - CELDA LA LAGUNA,"CELDA EL AGUACATE CHUACULA(HNENGTAC) - CELDA LA LAGUNA(HAHUGTLA)
1,800Mbps
41.39%","[(15.9823, -91.61319999999999), (15.770777777778, -91.84133333333301)]"
CELDA YALANCULUTZ - CELDA CATARINA JACALTENANGO,"CELDA YALANCULUTZ(HSMAGTYA) - CELDA CATARINA JACALTENANGO(HJACGTCH)
1,400Mbps
50.92%","[(15.8241, -91.695), (15.7772, -91.78889999999998)]"
CELDA YALANCULUTZ - CELDA LA FORTUNA NENTON,"CELDA YALANCULUTZ(HSMAGTYA) - CELDA LA FORTUNA NENTON(HNENGTFN)
1,400Mbps
28.36%","[(15.8241, -91.695), (15.8315, -91.81705555555598)]"
CELDA LA LAGUNA - CELDA CUATRO CAMINOS NENTON,"CELDA LA LAGUNA(HAHUGTLA) - CELDA CUATRO CAMINOS NENTON(HAHUGTCC)
10,000Mbps
64.71%","[(15.770777777778, -91.84133333333301), (15.711944444444, -91.884777777778)]"
CELDA LA LAGUNA - CELDA CATARINA JACALTENANGO,"CELDA LA LAGUNA(HAHUGTLA) - CELDA CATARINA JACALTENANGO(HJACGTCH)
10,000Mbps
32.86%","[(15.770777777778, -91.84133333333301), (15.7772, -91.78889999999998)]"
CELDA LA LAGUNA - CELDA RANCHO LUCAS,"CELDA LA LAGUNA(HAHUGTLA) - CELDA RANCHO LUCAS(HAHUGTRL)
10,000Mbps
2.18%","[(15.770777777778, -91.84133333333301), (15.748805555556, -91.86422222222201)]"
CELDA LA LAGUNA -,"CELDA LA LAGUNA(HAHUGTLA) - (HCUIGPPN)
1,700Mbps
9.8%","[(15.770777777778, -91.84133333333301), (16.09622, -88.561347)]"
CELDA LA LAGUNA - NENTON,"CELDA LA LAGUNA(HAHUGTLA) - NENTON(HNENGTNE)
10,000Mbps
10.05%","[(15.770777777778, -91.84133333333301), (15.798166666667, -91.758305555556)]"
CELDA LA LAGUNA - CELDA ULNA,"CELDA LA LAGUNA(HAHUGTLA) - CELDA ULNA(HSSCGTUL)
1,532Mbps
74.91%","[(15.770777777778, -91.84133333333301), (15.814722222222, -91.666027777778)]"
CELDA SANTA EULALIA II - SANTA EULALIA,"CELDA SANTA EULALIA II(HSPSGTSE) - SANTA EULALIA(HSEUGTSE)
1,010Mbps
2.54%","[(15.7265, -91.452902777778), (15.7381, -91.46079999999999)]"
CELDA SOLOMA IV - SAN PEDRO SOLOMA,"CELDA SOLOMA IV(HSPSGTS4) - SAN PEDRO SOLOMA(HSPSGTSP)
10,000Mbps
3.39%","[(15.671527777778, -91.42986111111098), (15.6573, -91.443602777778)]"
CAMBOTE - CHIMUSINIQUE,"CAMBOTE(HUEHGTCA) - CHIMUSINIQUE(HUEHGTCM)
10,000Mbps
1.01%","[(15.3078, -91.4944), (15.3027, -91.50959722222198)]"
CAMBOTE - CELDA HUEHUETENANGO II,"CAMBOTE(HUEHGTCA) - CELDA HUEHUETENANGO II(HUEHGTH2)
10,000Mbps
18.73%","[(15.3078, -91.4944), (15.308055555556, -91.494444444444)]"
NEBAJ - CELDA NEBAJ II,"NEBAJ(KNEBGTNE) - CELDA NEBAJ II(KNEBGTN2)
100Mbps
9.74%","[(15.405555555556, -91.147777777778), (15.427305555556, -91.16025)]"
NEBAJ - CELDA MEDIA LUNA,"NEBAJ(KNEBGTNE) - CELDA MEDIA LUNA(KCUNGTML)
50,000Mbps
14.45%","[(15.405555555556, -91.147777777778), (15.3414, -91.07140000000001)]"
NEBAJ - CELDA RANCHO DE TEJA,"NEBAJ(KNEBGTNE) - CELDA RANCHO DE TEJA(KSACGTRT)
1,400Mbps
2.95%","[(15.405555555556, -91.147777777778), (15.235916666667, -91.15558333333298)]"
CELDA MALA - MALACATANCITO,"CELDA MALA(HMALGTML) - MALACATANCITO(HMALGTMA)
1,000Mbps
6.43%","[(15.221666666667, -91.49475), (15.244583333333, -91.494444444444)]"
CELDA CUCHUMATANES I - CHIANTLA,"CELDA CUCHUMATANES I(HCHIGTC1) - CHIANTLA(HCHIGTCH)
10,000Mbps
15.59%","[(15.3883, -91.411722222222), (15.355027777778, -91.45938333333301)]"
CELDA CUCHUMATANES I - CELDA CHUY,"CELDA CUCHUMATANES I(HCHIGTC1) - CELDA CHUY(HSSHGTCH)
1,456Mbps
67.59%","[(15.3883, -91.411722222222), (15.469416666667, -91.537333333333)]"
CELDA TIERRA BLANCA MOMOSTENANGO - CELDA MALACATANCITO II,"CELDA TIERRA BLANCA MOMOSTENANGO(TMOMGTTB) - CELDA MALACATANCITO II(QSCSGTM2)
368Mbps
43.07%","[(15.097305555556, -91.522888888889), (15.193694444444, -91.534861111111)]"
CELDA TODOS SANTOS CUCHUMATAN - CELDA CHUY,"CELDA TODOS SANTOS CUCHUMATAN(HTSCGTTS) - CELDA CHUY(HSSHGTCH)
764Mbps
34.27%","[(15.512833333333, -91.601444444444), (15.469416666667, -91.537333333333)]"
CAMBOTE - CELDA SAN JUAN ATITAN,"CAMBOTE(HUEHGTCA) - CELDA SAN JUAN ATITAN(HSJAGTSJ)
1,812Mbps
27.52%","[(15.3078, -91.4944), (15.4293, -91.615402777778)]"
SAN IDELFONSO IXTAHUACAN - COLOTENANGO,"SAN IDELFONSO IXTAHUACAN(HSIIGTSI) - COLOTENANGO(HCOLGTCO)
10,000Mbps
10.97%","[(15.409555555556, -91.769777777778), (15.3993, -91.715)]"
SAN IDELFONSO IXTAHUACAN - CELDA SANTIAGO CHIMALTENANGO,"SAN IDELFONSO IXTAHUACAN(HSIIGTSI) - CELDA SANTIAGO CHIMALTENANGO(HCOLGTSC)
2,000Mbps
27.96%","[(15.409555555556, -91.769777777778), (15.449916666667, -91.686138888889)]"
CELDA SAN SEBASTIAN COATAN - CELDA SAN RAFAEL LA INDEPENDENCIA,"CELDA SAN SEBASTIAN COATAN(HSRIGTSS) - CELDA SAN RAFAEL LA INDEPENDENCIA(HSPSGTSR)
728Mbps
38.43%","[(15.7402, -91.54939999999999), (15.693861111111, -91.520497222222)]"
SIPACAPA - CELDA DOS MARIAS,"SIPACAPA(NSIPGTSI) - CELDA DOS MARIAS(QSCSGTDM)
924Mbps
44.03%","[(15.2127, -91.63169722222202), (15.155805555556, -91.536138888889)]"
CELDA PEBILPAN - CELDA CATARINA JACALTENANGO,"CELDA PEBILPAN(HAHUGTPE) - CELDA CATARINA JACALTENANGO(HJACGTCH)
924Mbps
3%","[(15.748805555556, -91.796055555556), (15.7772, -91.78889999999998)]"
CELDA CHUY - CELDA TOJCHOJ,"CELDA CHUY(HSSHGTCH) - CELDA TOJCHOJ(HSJAGTTO)
728Mbps
38.05%","[(15.469416666667, -91.537333333333), (15.498952777778, -91.592366666667)]"
CELDA CHUY - CELDA CUCHUMATANES II,"CELDA CHUY(HSSHGTCH) - CELDA CUCHUMATANES II(HCHIGTCD)
924Mbps
61.93%","[(15.469416666667, -91.537333333333), (15.438555555556, -91.47305555555599)]"
CELDA PETATAN - CELDA CANTINIL,"CELDA PETATAN(HCHUGTPE) - CELDA CANTINIL(HUCAGTCN)
924Mbps
23.81%","[(15.6234, -91.7278), (15.6, -91.71040000000002)]"
CELDA LA FLORIDA HUEHUETENANGO - SANTA CRUZ BARILLAS,"CELDA LA FLORIDA HUEHUETENANGO(HSCBGTFH) - SANTA CRUZ BARILLAS(HSCBGTSC)
10,000Mbps
10.02%","[(15.8167, -91.2818), (15.807777777778, -91.31)]"
CELDA CRUCE A SANTA BARBARA - CELDA HUEHUETENANGO II,"CELDA CRUCE A SANTA BARBARA(HSBAGTCA) - CELDA HUEHUETENANGO II(HUEHGTH2)
10,000Mbps
15.83%","[(15.333, -91.588222222222), (15.308055555556, -91.494444444444)]"
CELDA CRUCE A SANTA BARBARA - CELDA CHICOL SANTA BARBARA,"CELDA CRUCE A SANTA BARBARA(HSBAGTCA) - CELDA CHICOL SANTA BARBARA(HSBAGTCS)
10,000Mbps
11.59%","[(15.333, -91.588222222222), (15.336769444444, -91.622177777778)]"
CELDA SAN GASPAR IXCHIL - COLOTENANGO,"CELDA SAN GASPAR IXCHIL(HSGIGTSG) - COLOTENANGO(HCOLGTCO)
10,000Mbps
5.67%","[(15.383916666667, -91.729222222222), (15.3993, -91.715)]"
CELDA RIO SAN JUAN - AGUACATAN,"CELDA RIO SAN JUAN(HAGUGTRS) - AGUACATAN(HAGUGTAG)
1,000Mbps
70.49%","[(15.345080555556, -91.30081388888898), (15.34125, -91.31636111111101)]"
CELDA MALACATANCITO II - CELDA DOS MARIAS,"CELDA MALACATANCITO II(QSCSGTM2) - CELDA DOS MARIAS(QSCSGTDM)
50,000Mbps
3.6%","[(15.193694444444, -91.534861111111), (15.155805555556, -91.536138888889)]"
CELDA MALACATANCITO II - MALACATANCITO,"CELDA MALACATANCITO II(QSCSGTM2) - MALACATANCITO(HMALGTMA)
50,000Mbps
4.35%","[(15.193694444444, -91.534861111111), (15.244583333333, -91.494444444444)]"
CHIANTLA - SAN JUAN IXCOY,"CHIANTLA(HCHIGTCH) - SAN JUAN IXCOY(HSJIGTSJ)
50,000Mbps
17.51%","[(15.355027777778, -91.45938333333301), (15.3553, -91.2648)]"
SAN JUAN IXCOY - SAN PEDRO SOLOMA,"SAN JUAN IXCOY(HSJIGTSJ) - SAN PEDRO SOLOMA(HSPSGTSP)
50,000Mbps
14.28%","[(15.3553, -91.2648), (15.6573, -91.443602777778)]"
SAN JUAN IXCOY - CELDA SOLOMA II,"SAN JUAN IXCOY(HSJIGTSJ) - CELDA SOLOMA II(HSJIGTS2)
10,000Mbps
7.27%","[(15.3553, -91.2648), (15.6405, -91.429222222222)]"
SAN JUAN IXCOY - CELDA JOLOMCU,"SAN JUAN IXCOY(HSJIGTSJ) - CELDA JOLOMCU(HSJIGTJO)
10,000Mbps
5.72%","[(15.3553, -91.2648), (15.6386, -91.471)]"
SAN PEDRO SOLOMA - SANTA EULALIA,"SAN PEDRO SOLOMA(HSPSGTSP) - SANTA EULALIA(HSEUGTSE)
50,000Mbps
11.85%","[(15.6573, -91.443602777778), (15.7381, -91.46079999999999)]"
CERRO SIETE CERROS - SAN ANTONIO HUISTA,"CERRO SIETE CERROS(HSPNGTSC) - SAN ANTONIO HUISTA(HSAHGTSA)
728Mbps
48.03%","[(15.524722222222, -91.747777777778), (15.651111111111, -91.770833333333)]"
CELDA MEDIA LUNA - CELDA CUNEN,"CELDA MEDIA LUNA(KCUNGTML) - CELDA CUNEN(KCUNGTCE)
1,000Mbps
15.13%","[(15.3414, -91.07140000000001), (15.327833333333, -91.038888888889)]"
AGUACATAN - SACAPULAS,"AGUACATAN(HAGUGTAG) - SACAPULAS(KSACGTSA)
50,000Mbps
29.15%","[(15.34125, -91.31636111111101), (15.2875, -91.0925)]"
LA LIBERTAD HUEHUETENANGO - LA DEMOCRACIA HUEHUETENANGO,"LA LIBERTAD HUEHUETENANGO(HLIBGTLI) - LA DEMOCRACIA HUEHUETENANGO(HDEMGTDE)
10,000Mbps
16.49%","[(15.512777777778, -91.868888888889), (15.6246, -91.8856)]"
LA LIBERTAD HUEHUETENANGO - CELDA SAN PEDRO NECTA,"LA LIBERTAD HUEHUETENANGO(HLIBGTLI) - CELDA SAN PEDRO NECTA(HSIIGTSP)
728,000Mbps
0.01%","[(15.512777777778, -91.868888888889), (15.486083333333, -91.771222222222)]"
HUEHUETENANGO - PUENTE ZACUMA,"HUEHUETENANGO(HUEHGTHU) - PUENTE ZACUMA(HUEHGTPZ)
10,000Mbps
2.2%","[(15.326388888889, -91.46583333333301), (15.3125, -91.487777777778)]"
SAN ANTONIO HUISTA - CELDA CAMOJA,"SAN ANTONIO HUISTA(HSAHGTSA) - CELDA CAMOJA(HDEMGTCA)
10,000Mbps
63.51%","[(15.651111111111, -91.770833333333), (15.6378, -91.919997222222)]"
SAN ANTONIO HUISTA - CELDA SANTA ANA - SAN ANTONIO HUISTA,"SAN ANTONIO HUISTA(HSAHGTSA) - CELDA SANTA ANA - SAN ANTONIO HUISTA(HAHUGTSS)
10,000Mbps
2.74%","[(15.651111111111, -91.770833333333), (15.6789, -91.8107)]"
SAN ANTONIO HUISTA - CELDA SAN ANTONIO HUISTA Y JACALTENANGO,"SAN ANTONIO HUISTA(HSAHGTSA) - CELDA SAN ANTONIO HUISTA Y JACALTENANGO(HCHUGTSA)
1,000Mbps
9.63%","[(15.651111111111, -91.770833333333), (15.654111111111, -91.738083333333)]"
SANTA CRUZ BARILLAS - CHEMALITO,"SANTA CRUZ BARILLAS(HSCBGTSC) - CHEMALITO(HSEUGTCH)
50,000Mbps
5.43%","[(15.807777777778, -91.31), (15.735527777778, -91.51341666666698)]"
SANTA CRUZ BARILLAS - CELDA SAN RAMON HUEHUETENANGO,"SANTA CRUZ BARILLAS(HSCBGTSC) - CELDA SAN RAMON HUEHUETENANGO(HSCBGTSR)
50,000Mbps
1.12%","[(15.807777777778, -91.31), (15.864777777778, -91.213388888889)]"
SANTA CRUZ BARILLAS - CERRO LA CUMBRE,"SANTA CRUZ BARILLAS(HSCBGTSC) - CERRO LA CUMBRE(HSMIGTLC)
1,000Mbps
3.96%","[(15.807777777778, -91.31), (15.806111111111, -91.47722222222198)]"
CELDA CAMOJA - LA DEMOCRACIA HUEHUETENANGO,"CELDA CAMOJA(HDEMGTCA) - LA DEMOCRACIA HUEHUETENANGO(HDEMGTDE)
10,000Mbps
35.38%","[(15.6378, -91.919997222222), (15.6246, -91.8856)]"
CELDA CAMOJA - CELDA LA MESILLA,"CELDA CAMOJA(HDEMGTCA) - CELDA LA MESILLA(HLIBGTME)
10,000Mbps
5.26%","[(15.6378, -91.919997222222), (15.63575, -91.988416666667)]"
CELDA SAN ISIDRO SEVETINA - CELDA DOS MARIAS,"CELDA SAN ISIDRO SEVETINA(NSIPGTSS) - CELDA DOS MARIAS(QSCSGTDM)
1,400Mbps
42.1%","[(15.183380555556, -91.71476111111099), (15.155805555556, -91.536138888889)]"
CELDA RANCHO DE TEJA - SACAPULAS,"CELDA RANCHO DE TEJA(KSACGTRT) - SACAPULAS(KSACGTSA)
50,000Mbps
3.41%","[(15.235916666667, -91.15558333333298), (15.2875, -91.0925)]"
SACAPULAS - CELDA CUNEN,"SACAPULAS(KSACGTSA) - CELDA CUNEN(KCUNGTCE)
50,000Mbps
22.62%","[(15.2875, -91.0925), (15.327833333333, -91.038888888889)]"
CELDA CUNEN - CANILLA,"CELDA CUNEN(KCUNGTCE) - CANILLA(KCANGTCA)
1,700Mbps
65.75%","[(15.327833333333, -91.038888888889), (15.165, -90.85055555555599)]"
CELDA CUNEN - USPANTAN,"CELDA CUNEN(KCUNGTCE) - USPANTAN(KUSPGTUS)
10,000Mbps
16.99%","[(15.327833333333, -91.038888888889), (15.3475, -90.872777777778)]"
CELDA SANTA BARBARA HUEHUETENANGO - CELDA CHICOL SANTA BARBARA,"CELDA SANTA BARBARA HUEHUETENANGO(HSBAGTSB) - CELDA CHICOL SANTA BARBARA(HSBAGTCS)
10,000Mbps
6.92%","[(15.323805555556, -91.635958333333), (15.336769444444, -91.622177777778)]"
CELDA SANTA BARBARA HUEHUETENANGO - CELDA SAN JUAN ATITAN,"CELDA SANTA BARBARA HUEHUETENANGO(HSBAGTSB) - CELDA SAN JUAN ATITAN(HSJAGTSJ)
924Mbps
4.87%","[(15.323805555556, -91.635958333333), (15.4293, -91.615402777778)]"
CELDA CANTINIL - CELDA VALENTON,"CELDA CANTINIL(HUCAGTCN) - CELDA VALENTON(HSCHGTVA)
10,000Mbps
6.01%","[(15.6, -91.71040000000002), (15.5853, -91.692472222222)]"
CELDA CANTINIL - CELDA SAN MARTIN CUCHUMATAN,"CELDA CANTINIL(HUCAGTCN) - CELDA SAN MARTIN CUCHUMATAN(HTSCGTSM)
1,000Mbps
4.48%","[(15.6, -91.71040000000002), (15.577222222222, -91.670138888889)]"
CELDA SANTA AVELINA - CELDA SAN JUAN COTZAL,"CELDA SANTA AVELINA(KSJCGTSA) - CELDA SAN JUAN COTZAL(KSJCGTSJ)
10,000Mbps
3.79%","[(15.4497, -90.96769999999998), (15.433333333333, -91.038055555556)]"
CELDA GUAXACANA - CELDA GRACIAS A DIOS,"CELDA GUAXACANA(HNENGTGU) - CELDA GRACIAS A DIOS(HNENGTGD)
728Mbps
46.83%","[(15.9522, -91.6951), (16.038472222222, -91.745388888889)]"
CELDA ULNA - CELDA GRACIAS A DIOS,"CELDA ULNA(HSSCGTUL) - CELDA GRACIAS A DIOS(HNENGTGD)
1,700Mbps
57.62%","[(15.814722222222, -91.666027777778), (16.038472222222, -91.745388888889)]"
CERRO LA CUMBRE - CELDA CUCHUMATANES III,"CERRO LA CUMBRE(HSMIGTLC) - CELDA CUCHUMATANES III(HTSCGTC3)
728Mbps
49.91%","[(15.806111111111, -91.47722222222198), (15.505333333333, -91.51561111111101)]"
CELDA CUCHUMATANES III - CELDA CUCHUMATANES I,"CELDA CUCHUMATANES III(HTSCGTC3) - CELDA CUCHUMATANES I(HCHIGTC1)
700Mbps
0.08%","[(15.505333333333, -91.51561111111101), (15.3883, -91.411722222222)]"
CHEMALITO - SANTA EULALIA,"CHEMALITO(HSEUGTCH) - SANTA EULALIA(HSEUGTSE)
50,000Mbps
7.47%","[(15.735527777778, -91.51341666666698), (15.7381, -91.46079999999999)]"
CHEMALITO - CELDA SAN RAFAEL LA INDEPENDENCIA,"CHEMALITO(HSEUGTCH) - CELDA SAN RAFAEL LA INDEPENDENCIA(HSPSGTSR)
1,848Mbps
49.19%","[(15.735527777778, -91.51341666666698), (15.693861111111, -91.520497222222)]"
NENTON - CELDA NENTON,"NENTON(HNENGTNE) - CELDA NENTON(HNENGTNN)
10,000Mbps
2.02%","[(15.798166666667, -91.758305555556), (15.798166666667, -91.758305555556)]"
