name,description,coordinates
CELDA SARITA ESCUINTLA (EESCGTSE),"CELDA SARITA ESCUINTLA(EESCGTSE)
id celda:3253
isla: ESCUINTLA","[(14.2935, -90.782097222222)]"
CELDA SAN MAURICIO (MSDSGTSM),"CELDA SAN MAURICIO(MSDSGTSM)
id celda:2064
Isla: ESCUINTLA","[(14.241888888889, -91.46983333333299)]"
CELDA EL ARISCO (ETIQGTEA),"CELDA EL ARISCO(ETIQGTEA)
id celda:4519
isla: ESCUINTLA","[(14.297694444444, -91.442138888889)]"
CELDA TECOJATE (ENCOGTTE),"CELDA TECOJATE(ENCOGTTE)
id celda:2280
Isla: ESCUINTLA","[(13.9883, -91.359566666667)]"
CELDA TIERRA LINDA COUBICADO (ESLCGTTI),"CELDA TIERRA LINDA COUBICADO(ESLCGTTI)
id celda:4901
Isla: ESCUINTLA","[(14.3989, -91.11180000000002)]"
CELDA MARIA LINDA (EGUAGTML),"CELDA MARIA LINDA(EGUAGTML)
id celda:1271
Isla: ESCUINTLA","[(14.1148, -90.64449999999998)]"
CELDA SEMILLERO (ETIQGTSE),"CELDA SEMILLERO(ETIQGTSE)
id celda:2293
Isla: ESCUINTLA","[(14.064722222222, -91.514916666667)]"
CELDA LAS PLAYAS SANTA LUCIA COUBICADO (ESLCGTPS),"CELDA LAS PLAYAS SANTA LUCIA COUBICADO(ESLCGTPS)
id celda:4958
Isla: ESCUINTLA","[(14.184638888889, -91.133916666667)]"
CELDA SANTA LUCIA COTZUMALGUAPA III (ESLCGTL3),"CELDA SANTA LUCIA COTZUMALGUAPA III(ESLCGTL3)
id celda:4369
Isla: ESCUINTLA","[(14.329, -91.0329)]"
CELDA EL BILBAO SANTA LUCIA COUBICADO (ESLCGTBS),"CELDA EL BILBAO SANTA LUCIA COUBICADO(ESLCGTBS)
id celda:5699
Isla: ESCUINTLA","[(14.336380555556, -91.02056111111101)]"
CELDA MIRIAN (ESLCGTMI),"CELDA MIRIAN(ESLCGTMI)
id celda:2759
Isla: ESCUINTLA","[(14.301463888889, -91.05331388888898)]"
CELDA LA BARRITA (ESJOGTBA),"CELDA LA BARRITA(ESJOGTBA)
id celda:2766
Isla: ESCUINTLA","[(13.920436111111, -90.91507222222201)]"
CELDA NUEVO TEXCUACO (EGOMGTNT),"CELDA NUEVO TEXCUACO(EGOMGTNT)
id celda:4213
Isla: ESCUINTLA","[(14.112, -91.061138888889)]"
CELDA CRUCE DE CHAMPONA (IMORGTCC),"CELDA CRUCE DE CHAMPONA(IMORGTCC)
id celda:5067
Isla: PUERTO BARRIOS","[(15.599519444444, -88.570869444444)]"
CELDA CASA BLANCA AGROCARIBE (IMORGTCB),"CELDA CASA BLANCA AGROCARIBE(IMORGTCB)
id celda:1988
isla: PUERTO BARRIOS","[(15.5827, -88.5938)]"
CELDA SENAHU (VSENGTSE),"CELDA SENAHU(VSENGTSE)
id celda:3410
Isla: PUERTO BARRIOS","[(15.4157, -89.829597222222)]"
CELDA TELEMAN II (COUBICADO) (VPANGTT2),"CELDA TELEMAN II (COUBICADO)(VPANGTT2)
id celda:5252
isla: PUERTO BARRIOS","[(15.3017, -89.7258)]"
CELDA RIO BLANCO IZABAL (IAMAGTRB),"CELDA RIO BLANCO IZABAL(IAMAGTRB)
id celda:3756
Isla: PUERTO BARRIOS","[(15.406027777778, -89.002222222222)]"
CELDA SANTA ELENA MORALES (IMORGTSE),"CELDA SANTA ELENA MORALES(IMORGTSE)
id celda:3474
isla: PUERTO BARRIOS","[(15.433416666667, -88.955416666667)]"
CELDA LA CUMBRE SAN LUIS PETEN (PSLUGTCS),"CELDA LA CUMBRE SAN LUIS PETEN(PSLUGTCS)
id celda:3673
Isla: PUERTO BARRIOS","[(16.0748, -89.3498)]"
CELDA CHACTE (PSLUGTCH),"CELDA CHACTE(PSLUGTCH)
id celda:1473
isla: PUERTO BARRIOS","[(16.1031, -89.359555555556)]"
BUENOS AIRES (ILIVGTBA),"BUENOS AIRES(ILIVGTBA)
id celda:1456
Isla: PUERTO BARRIOS","[(15.551861111111, -88.912777777778)]"
"CELDA FRANCESES, CRUCE A RIO DULCE (IMORGTFR)","CELDA FRANCESES, CRUCE A RIO DULCE(IMORGTFR)
id celda:3402
isla: PUERTO BARRIOS","[(15.5033, -88.8248)]"
CELDA MORALES III (HERMOSA PATRICIA) (IMORGTM3),"CELDA MORALES III (HERMOSA PATRICIA)(IMORGTM3)
id celda:3572
isla: PUERTO BARRIOS","[(15.4797, -88.8487)]"
MORALES (IMORGTMO),"MORALES(IMORGTMO)
id celda:1415
isla: PUERTO BARRIOS","[(15.4725, -88.836666666667)]"
CELDA EL ROSARIO (IMORGTER),"CELDA EL ROSARIO(IMORGTER)
id celda:3408
isla: PUERTO BARRIOS","[(15.5428, -88.838997222222)]"
CELDA HACIENDA LA PERLA (IMORGTHP),"CELDA HACIENDA LA PERLA(IMORGTHP)
id celda:3616
isla: PUERTO BARRIOS","[(15.532777777778, -88.74775)]"
CELDA TUCURU COUBICADO (VTUCGTTI),"CELDA TUCURU COUBICADO(VTUCGTTI)
id celda:5251
Isla: PUERTO BARRIOS","[(15.293111111111, -90.147)]"
CELDA CARRETERA TUCURU LA TINTA (VTUCGTCT),"CELDA CARRETERA TUCURU LA TINTA(VTUCGTCT)
id celda:
isla: PUERTO BARRIOS","[(15.296805555556, -89.958444444444)]"
PRADERA PUERTO BARRIOS (TRD) (IPBAGTPP),"PRADERA PUERTO BARRIOS (TRD)(IPBAGTPP)
id celda:9533
Isla: PUERTO BARRIOS","[(15.694138888889, -88.587983333333)]"
SANTO TOMAS DE CASTILLA (IPBAGTST),"SANTO TOMAS DE CASTILLA(IPBAGTST)
id celda:1418
isla: PUERTO BARRIOS","[(15.689694444444, -88.614638888889)]"
PANZOS (VPANGTPA),"PANZOS(VPANGTPA)
id celda:1328
Isla: PUERTO BARRIOS","[(15.401, -89.6456)]"
CELDA TELEMAN (VPANGTTE),"CELDA TELEMAN(VPANGTTE)
id celda:1338
isla: PUERTO BARRIOS","[(15.337694444444, -89.740861111111)]"
EL ESTOR (IESTGTES),"EL ESTOR(IESTGTES)
id celda:1440
isla: PUERTO BARRIOS","[(15.521944444444, -89.341944444444)]"
CELDA PANZOS (VPANGTPN),"CELDA PANZOS(VPANGTPN)
id celda:1328
isla: PUERTO BARRIOS","[(15.401, -89.6456)]"
MARISCOS (IAMAGTMA),"MARISCOS(IAMAGTMA)
id celda:1439
Isla: PUERTO BARRIOS","[(15.4237, -89.0819)]"
CELDA CRUCE A MARISCOS (IAMAGTCM),"CELDA CRUCE A MARISCOS(IAMAGTCM)
id celda:1455
isla: PUERTO BARRIOS","[(15.3933, -89.0274)]"
CELDA PLAYA DORADA (IAMAGTPD),"CELDA PLAYA DORADA(IAMAGTPD)
id celda:3578
isla: PUERTO BARRIOS","[(15.41525, -89.110527777778)]"
CELDA PLAN GRANDE (ILIVGTPG),"CELDA PLAN GRANDE(ILIVGTPG)
id celda:1141
Isla: PUERTO BARRIOS","[(15.8367, -88.7993)]"
CELDA LIVINGSTON (ILIVGTLV),"CELDA LIVINGSTON(ILIVGTLV)
id celda:1420
isla: PUERTO BARRIOS","[(15.824972222222, -88.750916666667)]"
CELDA AGROCARIBE (IMORGTAG),"CELDA AGROCARIBE(IMORGTAG)
id celda:1293
isla: PUERTO BARRIOS","[(15.5795, -88.5568)]"
CELDA SANTA CRUZ JALACTE (PSLUGTSC),"CELDA SANTA CRUZ JALACTE(PSLUGTSC)
id celda:1684
Isla: PUERTO BARRIOS","[(16.209533333333, -89.212972222222)]"
CELDA EL AGUACATE PETEN (PSLUGTAP),"CELDA EL AGUACATE PETEN(PSLUGTAP)
id celda:1683
isla: PUERTO BARRIOS","[(16.1526, -89.3231)]"
CELDA LA COMPUERTA (PPOPGTLC),"CELDA LA COMPUERTA(PPOPGTLC)
id celda:
isla: PUERTO BARRIOS","[(16.263611111111, -89.2555)]"
LA TINTA (VPANGTTI),"LA TINTA(VPANGTTI)
id celda:1464
Isla: PUERTO BARRIOS","[(15.3073, -89.883102777778)]"
CELDA ALDEA SALAC (VPANGTAS),"CELDA ALDEA SALAC(VPANGTAS)
id celda:
isla: PUERTO BARRIOS","[(15.3248, -89.812)]"
PUERTO BARRIOS (IPBAGTPB),"PUERTO BARRIOS(IPBAGTPB)
id celda:
isla: PUERTO BARRIOS
CORE
BB AMX","[(15.730555555556, -88.597777777778)]"
CELDA PLAYITAS (IMORGTPL),"CELDA PLAYITAS(IMORGTPL)
id celda:
isla: PUERTO BARRIOS","[(15.348416666667, -88.818611111111)]"
CELDA ENTRE RIOS (IPBAGTEI),"CELDA ENTRE RIOS(IPBAGTEI)
id celda:1301
isla: PUERTO BARRIOS","[(15.634083333333, -88.536055555556)]"
CELDA MORALES II (IMORGTM2),"CELDA MORALES II(IMORGTM2)
id celda:3468
isla: PUERTO BARRIOS","[(15.464027777778, -88.834166666667)]"
CELDA PUERTO BARRIOS II (IPBAGTP2),"CELDA PUERTO BARRIOS II(IPBAGTP2)
id celda:1326
Isla: PUERTO BARRIOS","[(15.7157, -88.5856)]"
CELDA EL MITCH PUERTO BARRIOS (IPBAGTMP),"CELDA EL MITCH PUERTO BARRIOS(IPBAGTMP)
id celda:5349
isla: PUERTO BARRIOS","[(15.709069444444, -88.581930555556)]"
CELDA ZARCO CREEK (IMORGTZC),"CELDA ZARCO CREEK(IMORGTZC)
id celda:4562
isla: PUERTO BARRIOS","[(15.3853, -88.822502777778)]"
CELDA ROSARIO BANANERA (IMORGTRB),"CELDA ROSARIO BANANERA(IMORGTRB)
id celda:
isla: PUERTO BARRIOS","[(15.326916666667, -88.860305555556)]"
